0.000000	51.793122	46.576897	71.065776	24.860615	151.550370	19.832179	494.288157	91.889088	149.026019	91.391731	637.666269	292.251386
0.500000	51.865224	46.485926	70.853004	24.723767	150.943683	19.816970	494.288157	91.848626	148.944717	91.351239	637.666269	292.251386
1.000000	51.889258	46.576897	71.065776	24.830204	151.550370	19.771344	494.288157	91.889088	149.026019	91.351239	637.456511	292.040679
1.500000	51.817156	46.485926	70.974588	24.784588	151.429033	19.816970	494.288157	91.889088	149.026019	91.391731	637.456511	292.251386
2.000000	51.865224	46.576897	70.944192	24.738973	151.186358	19.786553	494.288157	91.848626	149.026019	91.391731	637.456511	292.251386
2.500000	51.865224	46.516250	70.974588	24.860615	151.429033	19.832179	494.288157	91.889088	149.026019	91.351239	637.666269	292.251386
3.000000	51.793122	46.516250	71.004984	24.814999	151.429033	19.832179	494.288157	91.848626	149.026019	91.351239	637.666269	292.146033
3.500000	51.841190	46.516250	71.035380	24.708562	151.186358	19.862597	494.288157	91.848626	149.026019	91.351239	637.666269	292.251386
4.000000	51.865224	46.607220	71.430528	24.845410	151.550370	20.470946	494.288157	91.929550	149.026019	91.391731	637.666269	292.146033
4.500000	51.793122	46.940779	73.071910	24.754178	152.399732	21.733270	494.288157	91.889088	149.026019	91.391731	637.666269	292.356740
5.000000	51.769088	48.699542	76.719426	24.967052	155.675840	23.558317	494.288157	91.848626	149.026019	91.351239	637.666269	292.251386
5.500000	51.504715	51.913833	81.430802	25.331978	162.349396	25.581078	493.871739	91.848626	149.026019	91.351239	637.666269	292.251386
6.000000	51.240342	56.856564	86.506928	26.061831	170.843011	27.360499	491.165022	91.848626	148.944717	91.189269	637.666269	292.146033
6.500000	50.927901	62.405764	91.461471	27.202226	180.671338	28.896580	482.212035	91.686778	148.944717	90.500895	637.666269	292.251386
7.000000	50.687561	67.742700	95.777699	28.692343	189.650303	30.174113	464.306062	91.201235	148.782114	88.719222	637.456511	292.040679
7.500000	50.519324	72.594460	99.303632	30.243280	197.173220	31.071428	435.989638	90.068300	148.131700	85.479816	636.407717	291.408556
8.000000	50.447222	76.900397	102.441938	32.037502	204.089450	31.755821	400.385900	88.045203	146.586968	80.661200	633.471097	289.512188
8.500000	50.278985	80.296629	104.325509	33.694876	209.549631	32.136039	361.034400	85.010556	143.741408	74.587315	628.017372	285.403391
9.000000	50.327052	83.450273	106.209080	35.367456	213.796439	32.318544	322.099317	80.923900	138.863306	67.825055	618.368474	277.501857
9.500000	50.182849	85.876154	107.181245	36.918393	217.800572	32.440213	286.079161	76.068466	132.277869	60.981811	604.314645	264.964757
10.000000	50.278985	87.756211	107.971130	38.256457	220.712669	32.409796	255.056020	70.687026	124.554207	54.543492	585.646126	247.370676
10.500000	50.206883	89.363356	108.335692	39.548905	223.503428	32.181665	229.130436	65.103277	116.749244	48.793547	563.621469	225.562443
11.000000	50.158815	90.545973	108.882535	40.613273	225.687501	32.090413	207.343238	59.721838	109.594694	43.884146	538.660191	200.804305
11.500000	50.182849	91.425354	108.639493	41.479974	227.264886	31.786238	189.621593	54.704556	103.253161	39.811795	512.230602	175.519398
12.000000	50.182849	92.153118	108.882535	42.331469	228.842272	31.679777	175.027298	50.213280	97.686174	36.448559	484.961979	150.971967
12.500000	50.062679	92.486677	108.517973	42.985295	230.055646	31.421229	163.247617	46.320867	93.096346	33.774179	458.532390	129.058381
13.000000	50.182849	92.880882	108.578733	43.426248	230.662333	31.101845	153.657080	42.960175	89.237640	31.586050	432.732077	109.864819
13.500000	50.134781	92.971853	108.335692	43.912817	231.754369	30.904132	145.838708	40.146101	85.947586	29.924693	409.029350	94.109625
14.000000	50.110747	92.971853	107.849609	44.156101	232.361056	30.630375	139.271275	37.797666	83.104330	28.567242	386.585176	81.147157
14.500000	50.086713	92.880882	107.788849	44.460207	232.482393	30.341409	134.267516	35.833888	80.748488	27.554219	366.238588	70.661258
15.000000	50.086713	92.820235	107.424287	44.627464	233.210417	30.143696	129.889228	34.295257	78.758209	26.743801	348.199344	62.304030
15.500000	50.062679	92.426030	106.998964	44.642670	233.210417	29.930774	126.410598	32.979324	77.133491	26.156248	331.838170	55.767905
16.000000	50.086713	92.304736	106.755923	44.718696	233.453092	29.641808	123.698820	31.946822	75.671244	25.669997	316.945307	50.391415
16.500000	49.942510	91.880207	106.269840	44.718696	233.695767	29.474512	121.404238	31.137017	74.574560	25.406611	304.359788	46.227271
17.000000	50.062679	91.698266	105.966038	44.581849	233.210417	29.170337	119.683302	30.468927	73.599729	25.183746	292.613305	42.801077
17.500000	49.966544	91.273737	105.783757	44.597054	233.574429	29.048667	118.327412	29.983044	72.868606	25.082444	282.544890	40.112832
18.000000	49.918476	90.849208	105.358435	44.429796	233.210417	28.805328	117.232271	29.598386	72.218719	25.062183	273.525268	38.004404
18.500000	49.918476	90.455002	105.115394	44.308154	232.967743	28.622823	116.606476	29.335200	71.731303	25.102704	265.764198	36.212241
19.000000	49.894442	90.121444	104.872352	44.186512	232.846405	28.455527	116.084980	29.193484	71.325124	25.224267	258.842163	34.841763
19.500000	49.822340	89.575621	104.386269	43.973638	232.603731	28.333857	115.772083	29.092258	71.081416	25.386351	253.041019	33.866615
20.000000	49.870408	89.272386	104.264749	43.821585	232.118381	28.044891	115.772083	29.072013	70.918944	25.568695	247.688430	32.944178
20.500000	49.750238	88.756886	103.960947	43.654327	232.361056	27.968848	115.772083	29.152993	70.837708	25.811820	243.175462	32.311650
21.000000	49.822340	88.271710	103.596385	43.350222	231.633032	27.755926	116.032831	29.213729	70.797090	26.054946	239.082306	31.882549
